commissioner_name,sample_rank,utterance_date,meeting_idx_id,utterance_order,agenda_title,case_title,tag_keys,excerpt
윤종인,1,2022-04-27,6815,40,대한한의사협회의 통계작성 등을 위한 한의 의료기관 보유 가명정보 제공 요청에 관한 건,대한한의사협회의 통계작성 등을 위한 한의 의료기관 보유 가명정보 제공 요청에 관한 건,public_sector_accountability; procedure_legal_reasoning; data_subject_rights; business_burden_context; remedial_prevention; evidence_fact_clarification; ai_data_governance,"이 안건은 지난 3월 23일 제5회 제1소위원회의 검토를 거쳐 | 상정한 사안입니다. 제1소위원장이신 서종식 위원님께서 안건 설명을 해 주 시겠습니다. | | | | --- | --- | --- | | (위원 | 서종식) 안건을 | 설명드리겠습니다. 의안번호는 제2022-007-041 | 대한한의사협회의 통계작성 등을 위한 한의 의료기관 보유 가명정보 제공 | 요청에 관한 건입니다. 위원장님 말씀하신 바와 같이 이 안건은 3월 23일 제 | | | | --- | --- | --- | | 5회 | 제1소위원회에서 | 논의했는데요. 1소위원회에서는 가명정보 특례규정을 | | 도입해서 가명정보의 활용 폭을 넓히려는 입법 취지에도 불구하고 가명정보 | | | 를 활용하려는 한의사협회가 가명처리까지를 담당하는 것이 결과적으로 정 보주체 보호에 위험이 발생할 우려가 있다, 따라서 전체회의에 상정해서 심 의할 필요가 있다고 판단해서 본 회의에 상정하게 되었습니다. 질의배경을 간단히 설명드리면 대한한의사협회가 한의 비급여 항목에 대한 보험료율을 계산할 필요가 있어 100여 개의 표본 한의 의료기관으로부터 가 명정보를 제공받아 통계작성이나 과학적 연구를 하고자 하는 것입니다. 그래 서 대한한의사협회는 한의의료기관으로부터 가명정보를 제공받고자 하는데 이 협회가 직접 해당 개인정보를 가명처리 하는 업무를 위탁받을 수 있는 것이냐, 그리고 보건의료 데이…"
윤종인,2,2021-08-25,6768,73,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조일0033 등 3건),개인정보보호 법규 위반행위에 대한 시정조치에 관한 건 (2021조일0033 등 3건),sanction_effectiveness; procedure_legal_reasoning; data_subject_rights; business_burden_context; evidence_fact_clarification; ai_data_governance; cross_border_global,다음 안건으로 넘어가기 전에 페이스북 얼굴인식 정보 수집 관련해서 제 개인적인 의견을 속기록에 남기기 위해서 소견을 말씀드리고자 합니다. 이것이 개인정보처리방침과 관련된 첫 케이스여서 이렇게 하게 된 배경이랄까 이런 것을 설명할 필요성이 있을 것 같습니다. 데이터 시대의 개 인정보 활용은 기업과 정보주체 모두에게 매우 중요하다고 보입니다. 여기에 는 정보주체와 정보처리자 간의 신뢰가 굉장히 기본이 되어야 되고 정보주 체가 소위 알고 하는 동의를 할 수 있도록 정보처리자가 충실한 정보를 알 기 쉬운 방법으로 제공하는 것이 매우 필요하다고 하겠습니다. 이 사안에서 이용자에게 본인의 얼굴인식 정보의 수집 여부에 관하여 명확하지 않거나 혼란을 유발할 수 있는 표현을 사용하는 것은 알고 하는 동의라는 정보주체 와 정보처리자 간의 신뢰관계의 기본적 필수요소를 부정하고 이용자를 기만 할 수 있는 것으로 매우 우려될 수 있는 사안으로 보여집니다. 생각해보면 저희 개인정보보호 법제의 효과성은 이를 우회 또는 회피하는 다양한 디자 인기술에 의해서 쉽게 무력화될 수도 있습니다. 더욱이 데이터에 기반을 둔 디지털시대의 급진전은 소위 데이터를 많이 사용하는 빅테크 기업으로 하여 금 점점 더 많은 개인정보를 정보주체의 주의를 끌지 않고 수집하는 방향으 로 소위 기술과 디자인 설계가 발전되도록 유도하고 있는 것이 현실인 것 같습니다. 예를 들면 기본설정이 개…
윤종인,3,2020-11-18,6717,54,개인정보보호 법규 위반행위에 대한 시정조치 등 처분에 관한 건,,technical_security; sanction_effectiveness; procedure_legal_reasoning; data_subject_rights; business_burden_context; remedial_prevention; evidence_fact_clarification; ai_data_governance; cross_border_global,"또 다른 의견 있으십니까? 내용이 방대해서 여러 사람들이 보 다 보니까 다소 시간도 걸리고 했습니다만, 특히 147건이나 되는 많은 의견 들이 들어왔고 관심도도 대단히 높은 해설서입니다. 그래서 물론 일부 내용 상, 예를 들면 인터넷기업협회에서 들어온 내용과 에스케이텔레콤에서 들어 온 내용이 거의 비슷하다든지 이런 중복은 있었습니다만, 그래서 매우 관심 이 높다는 것을 이번 해설서 만드는 과정에서 저희가 확인했고요. 다만 여기 총괄표에 보시는 것처럼 저희가 반영을 29건을 했는데, 미반영 83건, 추후 반영 10건, 이런 부분이 있습니다. 미반영은 다소 저희가 받아들이기 어려운 부분을 그렇게 분류해서 말씀드린 것이고, 추후 반영은 법령 개정을 전제로 해야 되는 사안이기 때문에 저희가 지금은 반영할 수 없는 것으로 이해를 해 주시면 될 것 같고요. 이 법령 개정이 되면 그에 따라 해설서도 바꿀 수 있을 것으로 기대하고 있습니다. 그러면 상당히 많이 반영을 시키는 것으로 이해하고 있습니다. 다른 의견 없으십니까? 그러면 이렇게 처리하도록 하겠 습니다.  심의․의결안건 다. 개인정보보호 법규 위반행위에 대한 시정조치에 관한 건 (의안 제2020-006-008호) (위원장 윤종인) 마지막으로 의결안건 3번, 개인정보보호 법규 위반행위에 대한 시정조치에 관한 건을 상정하겠습니다. [의사봉 3타] (위원장 윤종인) 참고로 이 안건은 관련 사…"
윤종인,4,2022-09-14,6841,32,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조일0028),개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조일0028),technical_security; sanction_effectiveness; procedure_legal_reasoning; data_subject_rights; business_burden_context; remedial_prevention; evidence_fact_clarification,"그 다음에 지 위원님께서 두 번째 말씀하신 것에 대해서는 앞 으로 입법정책적으로 그렇게 논의가 될 가능성도 배제할 수 없고요. 또 사업 자들이 워낙 많다 보니까 저희가 ◎◎과 ▢▢에 대한 만약에 위법 여부에 대한 판단과는 별개로 사업자들이 추가적으로 책임져야 될 부분에 대해서 정보주체의 이익이라는 관점에서 좀 더 많은 논의가 있어야 될 것으로 보이 고 지금은 단지 개인정보처리방침에 그런 사실을 고지하는 수준에서, 저희가 그것은 가이드라인을 줘서 운영되고 있는 정도로 지켜지고 있다는 말씀을 드리고, 다만 이 케이스와 지금 말씀드린 케이스가 늘 같은 것은 아닌 것이 저희가 조사를 해보니 이용자 기반으로 행태정보를 수집하는 경우와 소위 그냥 이용자 식별없이 기기 기반으로 하는 경우가 나뉘었습니다. 그리고 기 기 기반으로 하는 경우까지를 저희가 조사 및 처분대상으로 삼고 있지는 않 아서 그 부분에 있어서는 이번 논의에서는 제외돼 있다는 말씀을 드리는 것 으로 설명드릴 수 있을 것 같습니다."
윤종인,5,2022-04-13,6813,64,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조일0101 등 3건),개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조일0101 등 2건),sanction_effectiveness; public_sector_accountability; procedure_legal_reasoning; business_burden_context; evidence_fact_clarification; ai_data_governance,"오늘 CCTV에 대해서 공부를 많이 하게 됩니다. 이 사안은 저 희가 CCTV와 관련해서 개인정보 보호법이 완결성을 갖추고 있다고 보기 어 렵고 또 사적 영역이기 때문에 그런 측면이 있지 않나 싶습니다. CCTV를 설치하고 운영하는 과정에서 정부가 사적 자치의 원칙을 최대한 존중하면서 최소한의 규제를 도입하고 있는 것이 개인정보 보호법의 취지인 것으로 이 해하고 있고, 그런 취지에서 보면 이런 경우가, ◎◎◎◎부터 시작해서 위원 님들께서 영세업자에 관한 과태료 부과의 문제 등 여러 가지 맥락들이 발생 하고 있는 것으로 보여지고요. 다만 이것은 침해신고가 된 사안에 대하여 저 희 위원회가 법 집행기관으로서 조사해서 규정에 따라서 처분을 해야 되는 문제거든요. 그래서 지성우 위원님께서 말씀하신 부분은 만약 우리가 그러면 재량으로 신고 사실을 조사해서, 예를 들면 우리 법에 위반했다고 판단될 사 안이 있을 때 우리가 재량으로 부과하지 않을 수도 있습니까? 그 건에 대해 서 먼저 명확하게, 지성우 위원님 의견을 저희 위원회에서 한번더 고려를 해보려면 그것이 일단 필요할 것 같다는 생각이 우선 들고요. 그 다음에 이 사안은 제가 볼 때 약간은 트위스트가 있을 수 있는 부분이 이 3개 사업자 모두 100%는 아니지만 본인이 당사자가 될 가능성이 있는 사 안에 대해서 기꺼이 보여주고자 싶은 마음이 없는 케이스, 약간 어린이집 CCTV 보여주는 …"
윤종인,6,2022-08-31,6838,110,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조일0028),,technical_security; sanction_effectiveness; procedure_legal_reasoning; data_subject_rights; business_burden_context; evidence_fact_clarification; ai_data_governance; cross_border_global,"저도 몇 가지 정리를 하겠습니다. 지금 법률대리인께서 제출하 신 ▢▢의 의견 요지는 다소 저희 처분 사전통지서와 내용이 오인해서 설명 되고 있는 부분들이 조금 있습니다. 그중에 하나는 강정화 위원님께서 제시 하신 것처럼 결합 시점을 기준으로 개인정보를 논하고 있는 것처럼, 저희가 생각하고 있는 것처럼 판단하고 답변을 하고 있는데 꼭 그런 것은 아니고요. 또 퍼블리셔 얘기를 자꾸 하시는 것 같은데 저희가 조사국에서 보고받기로 는 기본적으로 ▢▢ 사이트 외에서 행태정보를 포함한 정보를 수집할 때 ▢ ▢ 이용자에게 적법한 동의를 받았느냐를 문제삼고 있는 것입니다. 그런데 그런 일이 주로 행태정보가 벌어지고 있는 것이 사업자라고 말하는 퍼블리 셔에서 벌어지고 있는 것 같은데, 그런데 ▢▢은 안드로이드에서는 지배적사 업자이고 또 생태계 자체가 ▢▢ 중심으로 짜여져 있는 이런 환경에서 이용 자 식별자를 만들고 그것을 이용자 기기에 심어놓는 구조하에서 사업자들이 소위 행태정보 수집 도구에 이용자 식별자를 결합해서 행태정보를 수집할 수 있도록 하는 것이 본질인데 그러한 사실을 ▢▢을 이용하는 사람에게 충 분히 알렸느냐, 동의를 받고 수집하고 있느냐가 가장 중요한 것 같습니다. ▢▢과 퍼블리셔 간의 어떠한 계약이 있었는지에 대해서는 저희는 잘 모르 겠고 그런 부분에 대해서는 ▢▢과 퍼블리셔, 이런 것입니다. 예를 들면 오 성과 한음 얘기 아시잖아요…"
윤종인,7,2022-06-22,6828,71,개인정보보호 법규 위반행위에 대한 시정조치 및 개인정보 처리실태 개선권고에 관한 건(2022조총0001),개인정보보호 법규 위반행위에 대한 시정조치 및 개인정보 처리실태 개선권고에 관한 건(2022조총0001),technical_security; sanction_effectiveness; public_sector_accountability; procedure_legal_reasoning; remedial_prevention; evidence_fact_clarification,"추가로 하실 말씀 있으십니까? 그러면 마무리하겠습니다. 저희 가 최근에 조사처분한 사안 중에 징계권고는 처음인 것 같은데요. 그래서 조 사조정국에서도 이 사안의 중요성을 인지해서 당사자는 당연히 구속되어서 무기징역인가 구형되었는지 선고되었는지 모르겠지만 어쨌든 처벌이 되고 있는데, 관련해서 소위 관리자에게도 징계를 권고하는 내용으로 아마 작성한 것 같습니다. 그래서 이 부분이 다른 시스템을 운영하는 공공부문에도 상당 한 경각심을 줄 수 있으리라고 생각하는데 오늘 위원님들께서 말씀하시는 것을 들으니 그 부분에 대한 경각심을 좀 더 강하게 해줬으면 좋겠다는 취 지의 말씀이 있었던 것 같고, 또 이희정 위원님께서 말씀하신 기준을 일률적 으로 만든다는 것이 쉽지 않은데 그것도 앞으로 좋은 착안점이 될 것 같다 는 생각이 듭니다. 그러면 이 안건은 차기 회의에 상정하지 않고 오늘 의결하고자 하는데 이 의 없으십니까? <‘예’ 하는 위원 있음>"
윤종인,8,2021-05-26,6752,39,,,technical_security; sanction_effectiveness; public_sector_accountability; procedure_legal_reasoning; data_subject_rights; business_burden_context; remedial_prevention; evidence_fact_clarification; ai_data_governance,"하여간 상당히 그런 측면에서 의미가 있고, 또 이희정 위원님 께서 첫 번째 말씀하셨던 것처럼 계정 도용은 다크웹이라든가 그런 것을 통 해서 거래되고 있는 소위 해킹 또는 불법 유출된 그런 계정 아이디나 패스 워드 등이 너무 쉽게 사용되고, 소위 Credential Stuffing이라고 하는 방법에 따라서 컴퓨터가 무차별 대입을 통해서 계정을 도용, Access Control을 통과 하기 때문에 상당히 이런 부분에 관한 조직적인 피해가 발생할 수 있는 가 능성이 있다는 측면에서 우리 위원회에서는 개인정보 보호 차원에서 지속적 으로, 특히 접근통제 및 인증수단의 강화를 추진하는 것이 맞다고 봅니다. 시스템의 안전이 가장 중요하기 때문에 그 안에 개인정보가 많이 모여있어서 그런 측면에서 이 안건의 의의를 우리가 찾을 수 있고요. 또 그 과정에서 오 픈마켓 사업자들이 스스로 상당 부분을 개선하고 있기 때문에 그런 부분에서 저희가 과태료 다과 여부를 떠나서 주의를 촉구하고 또 국민들의 관심을 불 러일으킨다는 점에서 의의가 있었다는 말씀을 추가적으로 드리겠습니다. 그러면 이 안건은 차기 회의에 재상정하지 않고 의결하고자 하는데 이의 없으십니까? <‘예’ 하는 위원 있음> (위원장 윤종인) 그러면 원안대로 의결하고자 하는데 이의 없으십니까? <‘예’ 하는 위원 있음> (위원장 윤종인) 가결되었습니다. [의사봉 3타]  보고안건 가. ｢ AI …"
윤종인,9,2021-09-08,6771,32,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0002~0013 등 19건),,technical_security; sanction_effectiveness; public_sector_accountability; procedure_legal_reasoning; data_subject_rights; business_burden_context; remedial_prevention; evidence_fact_clarification; cross_border_global,"그래서 사실은 염흥열 위원님께서 말씀하신 것처럼 이것이 공 공기관 전체에 대한 전수조사를 저희가 한 것도 아니고, 그래서 이 기관들의 입장에서 보면 잘못 걸렸다, 이렇게 생각되는 경우도 있을 수 있습니다. 그 래서 일종의 경종을 울리는 계기가 되고, 또 아까 보고드린 대로 과태료도 처음 부과하는 것이라서 시작이라고 저희는 볼 수 있고요. 이것을 통해서 아 까 조사총괄과장이 말씀한 것처럼 굳이 많은 비용이 들지 않는데도 안전조 치를 하지 않는다든가 이런 여러 가지, 그리고 제가 모두말씀 드린 것처럼 공공기관이 갖고 있는 개인정보는 반드시 동의를 통해서 얻은 정보가 아님 에도 불구하고 안전조치가 좀 더 미흡한 것에 대한 경종을 저희 위원회에서 좀 강하게 할 필요가 있다, 그래서 국민이 그런 부분에 대해서 불안해 하실 수 있기 때문에 그런 부분을 시작하는 첫 계기가 아닐까 싶습니다. 다만 이 것이 전수조사가 아니라는 점, 그래서 앞으로 이런 부분을 좀 더 광범위하게 해야 되는데 저희 조사만 가지고 할 수 없기 때문에 강 위원님 말씀처럼 부 처 도움을 받고 수준진단도 하고 필요한 것은 여러 가지 인증과정을 거치는 다양한 방법들을 통해서 수준을 지금보다는 업그레이드할 수 있는 대책들을 저희가 같이 고민해봐야 되지 않을까 싶은 생각이 듭니다."
윤종인,10,2021-04-28,6746,84,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조이0013),,technical_security; sanction_effectiveness; procedure_legal_reasoning; data_subject_rights; business_burden_context; remedial_prevention; ai_data_governance; cross_border_global,"그러면 마무리 짓기 전에 아까 이희정 위원님께서 말씀하셨는 데, 피심인 대리인께서 제출하신 의견서에 관련해서 두 가지 정도 멘트를 하 겠습니다. 하나는 14세 미만 아동과 관련된 피심인 대리인 의견서에 이루다 의 경우에는 페이스북이라든지 아니면 연애의 과학이나 텍스트앳의 경우에 는 다른 앱스토어에서 다운받을 때 연령 제한이 있다는 것을 이유로 우리가 14세 미만 아동 제한에 관한 위법에 관한 문제를 따지는데 있어 그것을 사 유로 아니라고 피심인 의견을 낸 것은 조금 법리해석의 문제가 있는 것이 아닌가 라는 말씀을 드리고 싶고, 그렇다고 해서 저희가 제22조 제6항에 있 는 개인정보처리자의 의무가 면제되는 것은 아닌 것이 맞는 것 같은데, 그런 식의 얘기를 하게 되면 실제로 앱스토어 등을 통해서 다운받는 각종 앱들을 활용하는 개인정보처리자들이 14세 미만 아동에 대한 법정대리인의 동의를 받도록 하는 규정 자체를 형해화시킬 수 있다는 점에서 피심인의 주장에 대 해 동의하기 어렵다는 말씀을 드리고 싶고요. 그 다음에 두 번째는 그 주장서에 보면 제가 인터뷰한 것을 인용해가면서 위원회가 형식적 동의 일상화를 우려하면서 동의의 형식적 요건 미준수를 이유로 제재 처분을 하는 것은 모순이다는 의견을 주는 것에 대해서 제가 말씀드리겠습니다. 제가 그런 인터뷰를 한 취지도 그렇고, 그 취지의 핵심은 위원회가 형식적 동의의 일상화를 우려하는 취지는 …"
윤종인,11,2022-09-14,6841,52,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조일0028),개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조일0028),procedure_legal_reasoning; data_subject_rights; business_burden_context; ai_data_governance,"그렇다면 제 생각은 밑에 있는 당구장 표시, 유효한 동의에 대 해서는 개인정보 보호위원회와 협의를 진행할 것이라는 것을 시정조치안의 본문에 넣는 방법이 있을 수도 있을 것 같습니다. 1항, 2항, 3항 이런 식으로 해서. 그래서 시정조치안에 협의해서 결정을 하라고 하는 것이 더 명확할 것 같은데요. 그것이 더 나을 것 같다는 생각이 개인적으로는 듭니다. 어떻게 생각하십니까? (위원 이희정) 저는 위원님들께서 말씀하신 취지는 잘 이해가 되는데, 강 위원 님과 백 위원님 말씀하신, 어떻게 보면 1번의 문구를 바꿔서 이용자가 이런 것을 인지하고, 그러니까 별도의 동의받을 수 있는 형식과 그 다음에 내용을 실제로 인지해서 의 문구로 바꾸는 것에는 동의하고요. 다만 저는 구체적인 동의 방법을 피심 인과 협의하라고 하는 부분을 아예 시정조치 안에 넣는 것에 대해서는 조금 다시 생각해봐야 될 것 같습니다. 고려해봐야 될 사항은 다름이 아니고 사실 어떤 방식으로 쉽고 명확하게 할지 또는 선택을 좀 더 용이하게 구성할지는 뭔가 자유로운 선택이 가능하게 하도록 할 것이라는 취지 굉장히 많은 방법이 있을 수 있는데 그중에서 어느 한 방법을 선택하도록 위원회가 혹시라도 좋은 방법이 나올 수도 있고 뭔가 그런 여러 가지 가능성이 열려있는데 이 것이 위원회와 협의한 방법이니까 우리는 이것으로 간다, 이런 식으로 혹시 될 수 있을 것 같아서. (위원장 윤종인…"
윤종인,12,2020-08-26,6704,61,｢한국으로 이전된 개인정보의 처리와 관련한 개인정보 보호법의 해석과 적용을 위한 보완규정｣ 제정에 관한 건,,technical_security; public_sector_accountability; procedure_legal_reasoning; data_subject_rights; remedial_prevention; evidence_fact_clarification; ai_data_governance; cross_border_global,"그러면 일단 이렇게 정리해 보겠습니다. 위원님들의 의견이 거 의 다 모아졌다고 보고요. 일단 이 고시는 방금 전에 한 자구수정을 제외하 고는 고시내용에 대해서는 이견이 없으신 것으로 정리하고, 다만 이 고시의 해석에 관해서는 지금 단계에서는 소위 자체결합은 허용되지 않는 것으로 저희 위원회 의견을 정리하면서, 다만 아까 이희정 위원님께서 말씀해 주셨 고 염 위원님께서 동의를 하셨지만 이 부분에 관해서는 위원회의 판단이 굉 장히 중요한데 앞으로 어떠한 셀프결합 또는 자체결합이 허용될지 그것이 공공기관 내 또는 민간기관에서 어떠한 기준으로 추가적인 보안조치가 있어 야 하는지에 관해서는 향후 조금 더 수요조사, 관련 법령에 관한 조사 등을 연구해서 향후 별도 는 것으로 하고 정리를 하도록 하겠습니다. (데이터안전정책과장 이한샘) 위원장님, 한 가지 염 위원님께서 말씀하신 사항 에 대해서. 아까 ‘마’호에 보면 접속기록 보관 및 위․변조 방지 조치를 말씀 하셨는데, 그 다음 페이지에 보시면 정책 및 절차 마련에 대해서 ‘마’에 개인 정보의 안전성 확보 조치기준, 괄호에 보시면 ‘접속기록 보관 및 점검’, 이렇 게 나와 있습니다. 고시 제정을 포함한 다양한 방법을 추가적으로 강구하 (위원장 윤종인) 그러면 된 것 같습니다. 그마저도 허용을 안 한답니다. 좋은 지적 감사드리고 설명 감사합니다. 그러면 지금 정리한 대로 해서 원안은 의 결하고,…"
윤종인,13,2022-02-09,6801,9,,,technical_security; sanction_effectiveness; public_sector_accountability; procedure_legal_reasoning; data_subject_rights; business_burden_context; remedial_prevention; evidence_fact_clarification,"참고로 이 안건은 관련사업자인 ○○○○○ 측의 의견진술이 예정되어 있습니다. 효율적인 회의 진행을 위해서 먼저 안건 내용 중 조사결 과를 듣고 관계자의 의견진술 후 논의하도록 하겠습니다. 조사조정국장께서 (조사조정국장 보고해 주시기 바랍니다. 양청삼) 보고드리도록 하겠습니다. 의결주문입니다. 개인정보보 호 법규를 위반한 ▢▢▢▢▢ 및 ○○○○○에 대해 별지1부터 별지2까지 | | 의결한다. 제안이유는 언론보도에 따라 조사한 결과, 인정보보호 법규 위반행위에 대해 각 위반행위에 상응하는 시정조치안을 심 의․의결하기 위함입니다. 주요내용을 보고드리겠습니다. 언론보도에 따라 조사에 착수하였고 개인정 보 침해 관련 요지는 아래 표와 같습니다. 다음 쪽입니다. 행위사실 및 위법 성 판단을 보고드리겠습니다. | ▢▢▢▢▢ 및 ○○○○○의 개 ▢▢▢▢▢ 관련입니다. 첫 번째 행위사실, 동 | | --- | --- | --- | | | 의없는 제3자 제공입니다. | ▢▢▢▢▢ 는 머니톡 프로그램을 방영하면서 2020 | | | 년 4월 27일부터 2020년 6월 21일 동안 전화상담을 신청한 시청자에게 법정 | | | | 고지사항인 제3자 제공과 관련된 내용을 안내하지 않고 5,501명의 개인정보 | | | | 를 수집하였으며 상담을 목적으로 ○○○○○에 제공하였습니다. | | | | 법령근거입니다. 구 정보통신망법 제24조의2 제1항에는 개인정…"
윤종인,14,2022-04-27,6815,77,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0080),개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조총0080),procedure_legal_reasoning; data_subject_rights; evidence_fact_clarification; ai_data_governance,"그것은 조사조정국에서 말씀드리기 어렵고, 제가 말씀드리는 것이 나을 것 같습니다. 정보주체의 사전 동의, 괄호 열고 ‘예’, 이렇게 써달 라고 한 것은 ▥▥▥▥에서 저희가 의견을 보내서 받은 의견을 저희가 조금 감안해서 넣은 것이고요. 그 다음에 다른 정보와 결합하더라도 특정 개인을 식별할 수 없도록, 이것은 당연한 얘기이긴 한데 이 이상행동 탐지 솔루션이 라는 것이 뒤에 첨부서류를 읽어보시면 마침 염 위원님께서 지적하신 것과 관련되는데 그것이 소위 이상행동을 탐지하는 것이거든요. 예를 들면 가방을 어디에 놓고 간다든지, 아니면 갑자기 무슨 돌진을 한다는 행위를 한다든지, 이런 것을 탐지하는 것인데 굳이 안면인식까지 할 필요가 있겠느냐, 그럴 경 우에는 말씀하신 것처럼 블러링을 한다든지 비식별화 조치를 해도 되지 않 겠느냐 라는 생각으로 저희가 쓴 것인데, 정책적으로 지 위원님께서 말씀하 신 것과 밀접한 관련이 되는 부분이기도 한데, 제가 지난번 이와 관련된 고 민을 하면서 안면인식과 관련된 톡톡릴레이를 하면서 같이 의견을 나눴던 내용 중에 어떤 것이 있느냐 하면 안면인식이라는 것이 특징이 다른 AI와는 달리 안면인식용 AI는 얼굴을 보다 정확하게 소위 인식하고자 하는 기술 개 발의 목적이 있는 것이더라고요. 그런데 다른 AI가 예를 들면 자연어를 좀 더 잘 이해하는 AI와는 달리, 그래서 안면인식을 목적으로 하는 AI는 그것 이 …"
윤종인,15,2022-02-23,6804,22,개인정보 처리실태 개선 권고에 관한 건(2021조일0040),개인정보 처리실태 개선 권고에 관한 건(2021조일0040),procedure_legal_reasoning; business_burden_context; remedial_prevention; cross_border_global,"이희정 위원님이 지적하신 것이 제가 이 안건 다루면서 고민 했던 문제입니다. 디폴트의 문제를 해결해야 되지 않을까 해서 고민했었고, 디폴트라는 것이 100% 사업자의 이득 또는 이용자의 이해, 이런 부분들이 양 극단의 어딘가에 있어야 되는 것인데, 그 기준이 뭘까 하는 고민을, 이 사안을 다루면서 기본값 설정에 있어서의 원칙이랄까 룰, 이런 것들을 우리 위원회에서 고안해보면 어떨까 싶은 생각이 있어서 사실 초안에는 제가 우 겨서 그것을 넣었었는데 이것이 당장 우리도 충분히 연구가 안 된 상태에서 디폴트값을 이러한 경우에는 이렇게 설정하는 것이 최소한 양쪽 이해관계의 균형을 도모하는 것이겠다 라는 말을 단정적으로 하기가 지금 단계에서는 쉽지 않은 측면이 있고, 또 그런 측면에서 실무적으로는 우리 법에 있는 그 냥 침해 최소화의 원칙 정도를 언급하고 개선 권고를 하는 것이 바람직하지 않겠느냐 라는 건의가 있어서 최종 개선권고안에는 그 디폴트에 관한 원칙 에 관한 일반적인 얘기를 초안에 있던 것을 삭제하고 그냥 우리 법에 있는 원칙만 인용하는 것으로 일단 했습니다. 그런데 생각해보면 이것이 어떤 서비스냐에 따라 디폴트값도 많이 달라지 는 분야가 있습니다. 예를 들면 이 케이스만 하더라도 약 11%가 본인이 또 명백한 의사에 따라 다시 소위 새폴더에 있는 내용을 공개로 전환한 경우도 있고, 또 역으로 해석하면 89%의 경우는 또 그나마 무…"
윤종인,16,2022-08-31,6838,223,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건(2021조일0028),,technical_security; procedure_legal_reasoning; data_subject_rights; business_burden_context; evidence_fact_clarification; ai_data_governance; cross_border_global,"마무리하겠습니다. 마지막으로 드리고 싶은 말씀은 이 데이터 수집이 광고주와의 관계라는 측면에 국한해서 설명하셨고 또 그와 관련되어 서 위원님들 질문이 있었는데, 어쨌든 보다 정확한 광고를 원하는 광고주, 아니면 사이트를 운영하는 분들에게도 도움이 된다는 측면을 강조하신 것이 겠지요. 그러나 아까 서 위원님께서 말씀하셨던 것처럼 그것은 광고 목적으 로 쓰이는 측면에서 수집된 정보라는 측면을 강조한 것이고 실제로 이 문제 를, ▢▢한테도 똑같이 말씀드렸었는데 ▨▨▨▨ 내에서, 저도 ▨▨▨▨ 쓰 는 사람인데 들어가서 제가 활동하는 정보를 ▨▨▨▨에서 가져갈 수 있을 것이라는 것은 통상적으로 충분히 이해가 되고 또 그런 부분에 대해서는 어 느 정도 고지가 이루어지고 있다고 보여지지만 지금 문제삼고 있는 이 부분 은 일반인들은 사실 알기 어려운, 우리가 제3자 앱을 쓸 때 ▨▨▨▨에서 제 작․배포한 이용자 식별 쿠키 등을, 또는 수집 도구를 쓸 경우에 그것이 ▨ ▨▨▨까지 가는 것, 일반인들은 쉽게 알기 힘든 것이지요. 통상적으로 어떤 웹사이트에 들어가면 그런 수집 도구를 통해서 가져가는 데가 많습니다 라 고 얘기를 하지만 그것은 또 그것이고, 우리가 말씀드리는 것은 ▨▨▨▨에 서 가져가는 것에 관한 말씀을 드리는 것이니까 그것은 직접적인 관련은 없 고요. 어쨌든 ▨▨▨▨에서 그것을 가져간다, 이용자 식별자를 통해서 수집 도구와 결합되어서 …"
